Time (0.2 sec),Price
1686,1271.4
1687,1271.4
1688,1271.4
1689,1271.4
1690,1271.4
1691,1271.4
1692,1271.4
1693,1271.4
1694,1271.4
1695,1271.4
1696,1271.4
1697,1271.4
1698,1271.4
1699,1271.4
1700,1271.4
1701,1271.4
1702,1271.4
1703,1271.4
1704,1271.4
1705,1271.4
1706,1271.4
1707,1271.4
1708,1271.4
1709,1271.4
1710,1271.4
1711,1271.4
1712,1271.4
1713,1271.4
1714,1271.4
1715,1271.4
1716,1271.4
1717,1271.4
1718,1271.4
1719,1271.4
1720,1271.4
1721,1271.4
1722,1271.4
1723,1271.4
1724,1271.4
1725,1271.4
1726,1271.4
1727,1271.4
1728,1271.4
1729,1271.4
1730,1271.4
1731,1271.4
1732,1271.4
1733,1271.4
1734,1271.4
1735,1271.4
1736,1271.4
1737,1271.2
1738,1271.2
1739,1271.2
1740,1271.2
1741,1271.2
1742,1271.4
1743,1271.4
1744,1271.4
1745,1271.4
1746,1271.2
1747,1271.4
1748,1271.4
1749,1271.4
1750,1271.4
1751,1271.4
1752,1271.4
1753,1271.4
1754,1271.4
1755,1271.4
1756,1271.4
1757,1271.4
1758,1271.4
1759,1271.4
1760,1271.4
1761,1271.4
1762,1271.4
1763,1271.4
1764,1271.4
1765,1271.4
1766,1271.4
1767,1271.2
1768,1271.2
1769,1271.2
1770,1271.2
1771,1271.2
1772,1271.2
1773,1271.2
1774,1271.2
1775,1271.2
1776,1271.2
1777,1271.2
1778,1271.2
1779,1271.2
1780,1271.2
1781,1271.2
1782,1271.2
1783,1271.2
1784,1271.2
1785,1271.2
1786,1271.4
1787,1271.4
1788,1271.4
1789,1271.2
1790,1271.2
1791,1271.4
1792,1271.4
1793,1271.4
1794,1271.4
1795,1271.4
1796,1271.4
1797,1271.4
1798,1271.4
1799,1271.2
1800,1271.2
1801,1271.2
1802,1271.2
1803,1271.2
1804,1271.2
1805,1271.2
1806,1271.2
1807,1271.2
1808,1271.2
1809,1271.2
1810,1271.4
1811,1271.4
1812,1271.4
1813,1271.4
1814,1271.4
1815,1271.4
1816,1271.4
1817,1271.4
1818,1271.4
1819,1271.4
1820,1271.4
1821,1271.4
1822,1271.4
1823,1271.4
1824,1271.4
1825,1271.4
1826,1271.4
1827,1271.4
1828,1271.4
1829,1271.4
1830,1271.4
1831,1271.4
1832,1271.4
1833,1271.4
1834,1271.4
1835,1271.4
1836,1271.4
1837,1271.4
1838,1271.4
1839,1271.4
1840,1271.4
1841,1271.4
1842,1271.4
1843,1271.2
1844,1271.2
1845,1271.2
1846,1271.2
1847,1271.2
1848,1271.2
1849,1271.2
1850,1271.2
1851,1271.2
1852,1271.4
1853,1271.4
1854,1271.4
1855,1271.4
1856,1271.4
1857,1271.4
1858,1271.4
1859,1271.4
1860,1271.4
1861,1271.4
1862,1271.4
1863,1271.4
1864,1271.4
1865,1271.4
1866,1271.4
1867,1271.4
1868,1271.4
1869,1271.4
1870,1271.4
1871,1271.4
1872,1271.4
1873,1271.4
1874,1271.4
1875,1271.4
1876,1271.4
1877,1271.4
1878,1271.4
1879,1271.4
1880,1271.4
1881,1271.4
1882,1271.4
1883,1271.4
1884,1271.4
1885,1271.4
1886,1271.4
1887,1271.4
1888,1271.4
1889,1271.4
1890,1271.4
1891,1271.4
1892,1271.4
1893,1271.4
1894,1271.4
1895,1271.6
1896,1271.6
1897,1271.6
1898,1271.6
1899,1271.6
1900,1271.6
1901,1271.6
1902,1271.6
1903,1271.6
1904,1271.6
1905,1271.6
1906,1271.6
1907,1271.6
1908,1271.6
1909,1271.6
1910,1271.6
1911,1271.6
1912,1271.6
1913,1271.6
1914,1271.6
1915,1271.6
1916,1271.6
1917,1271.6
1918,1271.6
1919,1271.6
1920,1271.6
1921,1271.6
1922,1271.6
1923,1271.6
1924,1271.6
1925,1271.6
1926,1271.6
1927,1271.6
1928,1271.6
1929,1271.6
1930,1271.6
1931,1271.6
1932,1271.6
1933,1271.6
1934,1271.6
1935,1271.6
1936,1271.6
1937,1271.6
1938,1271.6
1939,1271.4
1940,1271.4
1941,1271.4
1942,1271.4
1943,1271.4
1944,1271.4
1945,1271.4
1946,1271.4
1947,1271.4
1948,1271.4
1949,1271.4
1950,1271.4
1951,1271.4
1952,1271.4
1953,1271.4
1954,1271.2
1955,1271.2
1956,1271.2
1957,1271.2
1958,1271.2
1959,1271.2
1960,1271.2
1961,1271.2
1962,1271.2
1963,1271.2
1964,1271.2
1965,1271.6
1966,1271.6
1967,1271.6
1968,1271.6
1969,1271.6
1970,1271.6
1971,1271.6
1972,1271.6
1973,1271.4
1974,1271.4
1975,1271.4
1976,1271.6
1977,1271.6
1978,1271.6
1979,1271.6
1980,1271.6
1981,1271.6
1982,1271.6
1983,1271.6
1984,1271.6
1985,1271.6
1986,1271.6
1987,1271.6
1988,1271.6
1989,1271.6
1990,1271.6
1991,1271.4
1992,1271.4
1993,1271.4
1994,1271.4
1995,1271.6
1996,1271.6
1997,1271.4
1998,1271.4
1999,1271.4
2000,1271.4
2001,1271.4
2002,1271.4
2003,1271.4
2004,1271.4
2005,1271.4
2006,1271.4
2007,1271.4
2008,1271.4
2009,1271.4
2010,1271.4
2011,1271.4
2012,1271.4
2013,1271.4
2014,1271.4
2015,1271.4
2016,1271.6
2017,1271.6
2018,1271.6
2019,1271.6
2020,1271.6
2021,1271.8
2022,1271.8
2023,1271.8
2024,1271.8
2025,1271.8
2026,1271.8
2027,1271.6
2028,1271.6
2029,1271.6
2030,1271.6
2031,1271.6
2032,1271.8
2033,1271.8
2034,1271.8
2035,1271.8
2036,1271.8
2037,1271.8
2038,1271.8
2039,1271.4
2040,1271.4
2041,1271.4
2042,1271.4
2043,1271.4
2044,1271.4
2045,1271.4
2046,1271.4
2047,1271.4
2048,1271.4
2049,1271.2
2050,1271.2
2051,1271.2
2052,1271.2
2053,1271.2
2054,1271.2
2055,1271.2
2056,1271.2
2057,1271.2
2058,1271.2
2059,1271.2
2060,1271.2
2061,1271.2
2062,1271.2
2063,1271.4
2064,1271.4
2065,1271.4
2066,1271.4
2067,1271.4
2068,1271.4
2069,1271.4
2070,1271.4
2071,1271.4
2072,1271.4
2073,1271.4
2074,1271.4
2075,1271.2
2076,1271.2
2077,1271.2
2078,1271.2
2079,1271.2
2080,1271.2
2081,1271.2
2082,1271.2
2083,1271.2
2084,1271.4
2085,1271.4
2086,1271.4
2087,1271.4
2088,1271.4
2089,1271.4
2090,1271.4
2091,1271.2
2092,1271.2
2093,1271.2
2094,1271.2
2095,1271.2
2096,1271.2
2097,1271.2
2098,1271.2
2099,1271.2
2100,1271.2
2101,1271.2
2102,1271.2
2103,1271.2
2104,1271.2
2105,1271
2106,1271
2107,1271
2108,1271
2109,1271
2110,1271
2111,1271
2112,1271
2113,1271
2114,1271
2115,1271
2116,1271
2117,1271
2118,1271.4
2119,1271.4
2120,1271.4
2121,1271.4
2122,1271.4
2123,1271.4
2124,1271.6
2125,1271.6
2126,1271.6
2127,1271.4
2128,1271.2
2129,1271.2
2130,1271.2
2131,1271.2
2132,1271.2
2133,1271.2
2134,1271.2
2135,1271.2
2136,1271.2
2137,1271.2
2138,1271.2
2139,1271.2
2140,1271.2
2141,1271.2
2142,1271.2
2143,1271.2
2144,1271.2
2145,1271.2
2146,1271.2
2147,1271.2
2148,1271.4
2149,1271.4
2150,1271
2151,1271
2152,1271
2153,1271
2154,1271
2155,1271
2156,1271
2157,1271
2158,1271
2159,1271
2160,1271
2161,1271
2162,1271
2163,1271
2164,1271
2165,1271
2166,1271
2167,1271
2168,1271
2169,1271
2170,1271
2171,1271
2172,1271
2173,1271
2174,1271.2
2175,1271.4
2176,1271.2
2177,1271.2
2178,1271.2
2179,1271.2
2180,1271.2
2181,1271.4
2182,1271.4
2183,1271
2184,1271
2185,1271
2186,1271.2
2187,1271.2
2188,1271.2
2189,1271.4
2190,1271.4
2191,1271.4
2192,1271.6
2193,1271.6
2194,1271.6
2195,1271.6
2196,1271.6
2197,1271.6
2198,1271.6
2199,1271.6
2200,1271.6
2201,1271.6
2202,1271.6
2203,1271.6
2204,1271.6
2205,1271.6
2206,1271.6
2207,1271.6
2208,1271.6
2209,1271.6
2210,1271.6
2211,1271.6
2212,1271.6
2213,1271.6
2214,1271.6
2215,1271.6
2216,1271.6
2217,1271
2218,1271
2219,1271
2220,1271
2221,1271
2222,1271
2223,1271
2224,1271
2225,1271
2226,1271.2
2227,1271.2
2228,1271.2
2229,1271.2
2230,1271.2
2231,1271.2
2232,1271.2
2233,1271.2
2234,1271.2
2235,1271.2
2236,1271.2
2237,1271.2
2238,1271.2
2239,1271.2
2240,1271.2
2241,1271
2242,1271.2
2243,1271.2
2244,1271.2
2245,1271.2
2246,1271.2
2247,1271.2
2248,1271.2
2249,1271.2
2250,1271.2
2251,1271.2
2252,1271.2
2253,1271.2
2254,1271.2
2255,1271.2
2256,1271.2
2257,1271.2
2258,1271.2
2259,1271
2260,1271
2261,1271
2262,1271
2263,1271
2264,1271
2265,1271
2266,1271.2
2267,1271.2
2268,1271.4
2269,1271.4
2270,1271.6
2271,1271.6
2272,1271.6
2273,1271.6
2274,1271.6
2275,1271.6
2276,1271
2277,1271
2278,1271
2279,1271
2280,1271
2281,1271
2282,1271
2283,1271
2284,1271
2285,1271
2286,1271
2287,1271
2288,1271
2289,1271
2290,1271
2291,1271
2292,1271
2293,1271
2294,1271
2295,1271
2296,1271
2297,1271
2298,1271
2299,1271
2300,1271
2301,1271
2302,1271
2303,1271
2304,1271
2305,1271
2306,1271
2307,1271
2308,1271
2309,1271
2310,1271
2311,1271
2312,1271
2313,1271.2
2314,1271.2
2315,1271.2
2316,1271.2
2317,1271.2
2318,1270.8
2319,1270.8
2320,1270.8
2321,1270.8
2322,1271
2323,1271
2324,1271
2325,1271
2326,1270.8
2327,1270.8
2328,1270.8
2329,1270.8
2330,1270.8
2331,1270.8
2332,1270.8
2333,1270.8
2334,1270.8
2335,1270.8
2336,1270.8
2337,1270.8
2338,1270.8
2339,1270.8
2340,1270.8
2341,1270.8
2342,1270.8
2343,1270.8
2344,1270.8
2345,1270.8
2346,1270.8
2347,1270.8
2348,1271.2
2349,1271.2
2350,1271.2
2351,1271.2
2352,1271.2
2353,1271.2
2354,1271.2
2355,1271.2
2356,1271.2
2357,1271.2
2358,1271.2
2359,1271.2
2360,1271.2
2361,1271.2
2362,1271.2
2363,1271.2
2364,1271
2365,1271
2366,1271
2367,1271
2368,1271
2369,1271
2370,1271
2371,1271
2372,1271.2
2373,1271.2
2374,1271.2
2375,1271.2
2376,1271.2
2377,1271.2
2378,1271.4
2379,1271.4
2380,1271.4
2381,1271.4
2382,1271.4
2383,1271.4
2384,1271.2
2385,1271.2
2386,1271.4
2387,1271.4
2388,1271
2389,1271
2390,1271
2391,1271
2392,1271
2393,1271
2394,1271
2395,1271.4
2396,1271.4
2397,1271.4
2398,1271.4
2399,1271.4
2400,1271.4
2401,1271.4
2402,1271.4
2403,1271.4
2404,1271.4
2405,1271.4
2406,1271.4
2407,1271.4
